	Date	City	Country	Latitude	Longitude	Temperature (F)	Humidity (%)	Cloudiness (%)	Wind Speed (mph)
0	1547262599	Puerto Ayora	EC	-0.74	-90.35	76.39	100	48	9.19
1	1547262553	Pangnirtung	CA	66.15	-65.72	-18.43	53	64	3.15
3	1547262599	Tashtagol	RU	52.76	87.85	3.67	78	76	2.37
4	1547262566	Atuona	PF	-9.8	-139.03	81.47	100	0	16.24
6	1547262600	Methoni	GR	36.82	21.7	62.26	100	88	11.43
7	1547262326	Saskylakh	RU	71.97	114.09	-43.18	0	36	3.6
8	1547262553	Carnarvon	ZA	-30.97	22.13	50.11	82	8	5.5
9	1547258400	Cape Town	ZA	-33.93	18.42	53.6	100	0	5.82
10	1547258160	Kapaa	US	22.08	-159.32	78.48	64	40	12.75
11	1547260500	Saint-Philippe	CA	45.36	-73.48	3.34	61	1	4.7
12	1547262601	Vanimo	PG	-2.67	141.3	83.05	100	12	14.23
13	1547262601	Madarounfa	NE	13.3	7.16	60.46	48	0	7.96
14	1547262545	Jamestown	AU	-33.21	138.6	88	44	0	11.77
15	1547262602	Sur	OM	22.57	59.53	70.31	100	0	16.35
16	1547260200	Kununurra	AU	-15.77	128.74	100.4	42	0	8.05
17	1547258400	Ushuaia	AR	-54.81	-68.31	46.4	70	75	11.41
18	1547262603	Busselton	AU	-33.64	115.35	74.32	81	0	11.77
19	1547262603	Gilgit	PK	35.92	74.31	13.3	86	80	0.69
20	1547258400	Sept-Iles	CA	50.2	-66.38	23	79	90	6.93
21	1547262604	Mataura	NZ	-46.19	168.86	69.91	53	0	4.05
22	1547262604	East London	ZA	-33.02	27.91	70.13	100	0	30.33
23	1547260620	Hobart	AU	-42.88	147.33	73.4	44	8	17.22
24	1547261700	Marshall	US	39.39	-87.69	30.29	95	90	8.05
25	1547262605	Gasa	BT	27.91	89.73	-10.06	38	0	2.04
26	1547260200	Byron Bay	AU	-28.65	153.62	86.11	48	40	12.75
27	1547258400	Vaini	IN	15.34	74.49	55.4	82	0	2.93
28	1547262605	Savelugu	GH	9.63	-0.83	76.79	32	20	6.62
29	1547262606	Uige	AO	-7.61	15.06	65.63	98	92	2.15
30	1547261400	Bischofswerda	DE	51.13	14.18	37.4	93	75	10.29
31	1547262606	Leningradskiy	RU	69.38	178.42	-14.2	88	8	14.45
32	1547262576	Hermanus	ZA	-34.42	19.24	48.49	100	12	3.15
33	1547262379	Carutapera	BR	-1.2	-46.02	73.82	100	92	1.59
34	1547262607	Benghazi	LY	32.12	20.07	61.49	100	0	5.39
35	1547262607	Qaanaaq	GL	77.48	-69.36	-18.16	100	24	10.54
37	1547258400	Punta Arenas	CL	-53.16	-70.91	44.6	100	75	27.51
38	1547257980	Hilo	US	19.71	-155.08	75.92	68	90	5.82
39	1547262608	Sorland	NO	67.67	12.69	38.54	100	64	24.29
41	1547262574	Provideniya	RU	64.42	-173.23	-11.23	100	20	17.92
42	1547262608	Rondonopolis	BR	-16.46	-54.64	68.65	99	80	2.82
43	1547262548	Rikitea	PF	-23.12	-134.97	79.36	100	80	17.25
44	1547258400	Tuktoyaktuk	CA	69.44	-133.03	-14.81	75	90	11.41
45	1547262609	Ambulu	ID	-8.35	113.61	82.73	100	24	5.39
46	1547262331	Port Alfred	ZA	-33.59	26.89	66.89	83	0	22.5
47	1547262609	Upernavik	GL	72.79	-56.15	-6.28	100	32	5.73
48	1547258400	Coquimbo	CL	-29.95	-71.34	59	82	0	4.7
49	1547262610	Kinshasa	CD	-4.32	15.31	69.55	100	92	3.6
50	1547258400	Adrar	DZ	27.87	-0.29	42.8	48	0	14.99
51	1547262610	Barrow	AR	-38.31	-60.23	61.67	56	0	12.1
52	1547261100	Qala	MT	36.04	14.31	44.6	75	40	6.93
53	1547262602	Khatanga	RU	71.98	102.47	-32.79	58	48	9.64
54	1547262611	Tulum	MX	20.21	-87.46	68.74	72	0	4.27
55	1547261400	Klaksvik	FO	62.23	-6.59	42.8	93	88	24.16
56	1547262612	Merauke	ID	-8.49	140.4	83.81	99	80	5.5
57	1547258400	Avarua	CK	-21.21	-159.78	84.2	74	75	9.17
58	1547258400	Norman Wells	CA	65.28	-126.83	-40.01	72	40	2.24
59	1547262613	Mayumba	GA	-3.44	10.65	75.71	100	68	3.94
60	1547262613	Evensk	RU	61.92	159.24	14.65	100	0	15.01
61	1547260620	New Norfolk	AU	-42.78	147.06	73.4	49	12	17.22
62	1547257800	Ilulissat	GL	69.22	-51.1	-7.61	43	0	1.12
63	1547261820	Albany	US	42.65	-73.75	8.42	61	20	14.99
64	1547262614	Bolobo	CD	-2.17	16.23	71.71	100	64	4.61
65	1547261400	Longyearbyen	NO	78.22	15.63	8.6	55	20	18.34
66	1547262615	Tashigang	CN	29.3	88.13	6.77	36	0	1.92
67	1547262404	Kyshtovka	RU	56.56	76.62	-5.92	72	44	3.15
68	1547262615	Flin Flon	CA	54.77	-101.88	2.27	77	48	6.51
69	1547262615	Kaputa	ZM	-8.47	29.66	61.36	95	24	2.15
70	1547262616	Hithadhoo	MV	-0.6	73.08	79.04	100	88	0.36
71	1547262616	Ormara	PK	25.21	64.64	66.22	98	8	8.75
73	1547262616	Saldanha	PT	41.42	-6.55	19.37	86	0	3.49
74	1547258400	Bredasdorp	ZA	-34.53	20.04	53.6	81	32	5.82
75	1547258400	Katsuura	JP	33.93	134.5	40.8	81	90	5.82
76	1547261400	Rome	IT	41.89	12.48	33.66	59	0	10.29
77	1547257800	Saint George	GR	39.45	22.34	36.43	86	90	4.7
78	1547259600	Liepaja	LV	56.52	21.02	36.36	81	80	4.7
79	1547262617	Tuatapere	NZ	-46.13	167.69	62.93	73	0	5.06
80	1547258400	Iqaluit	CA	63.75	-68.52	-18.41	68	20	21.92
81	1547262618	Uchiza	PE	-8.46	-76.46	67.84	92	88	1.92
82	1547260200	Port Hedland	AU	-20.31	118.58	91.4	63	0	17.22
83	1547258400	Bathsheba	BB	13.22	-59.52	78.8	74	40	13.87
84	1547258400	Yellowknife	CA	62.45	-114.38	6.8	77	90	10.29
85	1547262618	Kokopo	PG	-4.34	152.27	83.72	100	20	3.71
87	1547262619	Cidreira	BR	-30.17	-50.22	71.66	99	92	9.31
88	1547260200	Hasaki	JP	35.73	140.83	40.32	69	75	6.93
89	1547257800	Tasiilaq	GL	65.61	-37.64	17.6	78	80	4.7
91	1547262575	Pochutla	MX	15.74	-96.47	79.13	100	76	5.61
92	1547260200	Souillac	FR	45.6	-0.6	39.99	93	90	1.81
93	1547262620	Atambua	ID	-9.11	124.89	84.71	91	8	6.73
94	1547262620	Butaritari	KI	3.07	172.79	83.63	100	76	12.77
95	1547260200	Beauchamps	FR	48.83	-1.36	46.4	87	90	3.36
97	1547258400	Moree	AU	-29.46	149.84	91.4	21	0	8.05
98	1547262535	Dingle	PH	11	122.67	82.64	70	20	10.65
99	1547258400	Ternate	PH	14.29	120.72	86	62	20	4.7
100	1547258400	Thompson	CA	55.74	-97.86	-4.01	76	75	4.7
101	1547260560	Chapais	CA	49.78	-74.86	-11.21	76	90	11.41
102	1547262622	Oyon	PE	-10.67	-76.77	42.37	95	88	1.03
103	1547260200	Hamcearca	RO	45.12	28.39	26.6	92	8	2.24
105	1547262623	Bluff	AU	-23.58	149.07	87.77	53	0	8.63
106	1547258160	Kahului	US	20.89	-156.47	77.63	56	40	10.29
107	1547262623	Batticaloa	LK	7.71	81.69	76.3	100	92	6.96
108	1547260200	Ribeira Grande	PT	38.52	-28.7	59	72	40	12.75
109	1547261400	Bayir	TR	37.27	28.22	53.6	76	75	8.05
110	1547262546	Acari	BR	-6.44	-36.64	72.38	76	20	8.97
111	1547262624	Bam	IR	29.11	58.36	24.59	63	0	3.71
112	1547262623	Mogadishu	SO	2.04	45.34	78.64	100	64	22.62
113	1547262624	Fort-Shevchenko	KZ	44.51	50.26	43.49	94	44	24.07
114	1547262625	Hwange	ZW	-18.35	26.5	69.86	98	88	6.29
115	1547260200	Buchanan	LR	5.88	-10.05	75.2	94	20	5.61
116	1547262625	Namuac	PH	18.61	121.17	78.41	88	8	14.12
117	1547258400	Alberton	ZA	-26.25	28.13	64.4	82	0	5.61
118	1547258400	Emerald	AU	-23.53	148.16	89.6	35	0	8.05
119	1547262513	Namibe	AO	-15.19	12.15	73.19	100	8	3.15
120	1547262626	Dikson	RU	73.51	80.55	-21.31	94	0	17.92
121	1547262626	Chuy	UY	-33.69	-53.46	65.18	90	92	7.18
122	1547260200	Kuching	MY	1.56	110.34	86	70	75	2.24
123	1547258400	Maldonado	UY	-34.91	-54.96	62.6	67	0	5.82
124	1547262627	Plettenberg Bay	ZA	-34.05	23.37	63.97	100	36	19.26
125	1547260200	Victoria	BN	5.28	115.24	86.9	74	75	3.36
126	1547258400	Georgetown	GY	6.8	-58.16	75.2	88	20	4.7
127	1547262578	Port Lincoln	AU	-34.72	135.86	70.45	77	0	17.47
128	1547258400	Temiscaming	CA	46.72	-79.1	3.2	65	90	9.17
129	1547262629	Port-Gentil	GA	-0.72	8.78	77.2	100	68	4.72
130	1547258400	Quatre Cocos	MU	-20.21	57.76	78.8	88	40	6.93
131	1547257800	Nuuk	GL	64.17	-51.74	19.4	73	12	18.34
132	1547258400	Nieuw Amsterdam	SR	5.88	-55.08	75.2	94	0	1.12
133	1547262581	Lebu	ET	8.96	38.73	28.01	62	0	2.59
134	1547262630	Yar-Sale	RU	66.83	70.83	-11.05	74	48	18.03
136	1547260200	Nikolskoye	RU	59.7	30.79	33.8	86	75	13.42
137	1547262631	Mar del Plata	AR	-46.43	-67.52	65.81	42	36	20.49
138	1547262497	Severo-Kurilsk	RU	50.68	156.12	32.24	100	76	24.52
139	1547258400	Alyangula	AU	-13.85	136.42	89.6	66	40	5.82
140	1547262632	Morondava	MG	-20.3	44.28	74.72	100	68	6.17
141	1547262632	Sosnovo-Ozerskoye	RU	52.53	111.54	5.69	74	32	9.98
142	1547262398	Kavaratti	IN	10.57	72.64	81.29	100	12	9.75
143	1547262632	Ambatofinandrahana	MG	-20.55	46.8	60.68	97	92	2.15
144	1547261400	Lerwick	GB	60.15	-1.15	46.4	81	76	25.28
145	1547258400	Kano	NG	11.99	8.53	62.6	45	0	2.24
146	1547262633	Chato	TZ	-2.64	31.77	69.1	100	92	9.86
147	1547261700	Pacific Grove	US	36.62	-121.92	55.92	89	90	9.17
148	1547258400	Ranong	TH	9.96	98.62	82.4	78	20	3.36
149	1547258400	Hamilton	CA	43.26	-79.87	17.94	67	90	2.24
150	1547258400	Trat	TH	12.25	102.51	82.4	88	20	4.7
151	1547260200	Zelenogorskiy	RU	55.03	87	-0.41	84	90	11.18
152	1547262635	Komsomolskiy	RU	67.55	63.78	2.05	86	64	14.79
153	1547262635	Manokwari	ID	-0.87	134.08	81.97	100	24	7.4
154	1547259000	Hambantota	LK	6.12	81.12	73.4	100	90	10.29
155	1547262636	Cabo San Lucas	MX	22.89	-109.91	72.52	100	0	2.37
156	1547258400	Kamaishi	JP	39.28	141.86	41	48	40	3.36
157	1547262636	Borba	PT	38.81	-7.46	25.72	72	0	5.17
158	1547262636	Sobolevo	RU	54.43	31.9	11.27	81	80	11.54
159	1547260500	Lompoc	US	34.64	-120.46	57.34	66	90	20.8
160	1547260200	Lagoa	PT	37.14	-8.45	46.4	42	0	9.17
161	1547257800	Salalah	OM	17.01	54.1	73.4	28	0	16.11
162	1547260200	Beihai	CN	38.95	121.19	39.2	69	0	4.47
163	1547262638	Miram Shah	PK	33.01	70.07	31.43	81	12	3.04
164	1547262638	Pangody	RU	65.85	74.49	-19.6	57	0	14.56
165	1547262638	Chokurdakh	RU	70.62	147.9	-39.99	0	0	2.93
166	1547262638	Villamontes	BO	-21.26	-63.47	63.11	86	76	2.37
167	1547262639	Airai	TL	-8.93	125.41	84.17	66	12	2.26
168	1547258400	Russell	AR	-33.01	-68.8	75.2	47	0	4.7
169	1547260200	Bitung	ID	1.44	125.19	78.8	94	40	6.93
170	1547259000	Moratuwa	LK	6.77	79.88	75.2	78	20	10.29
171	1547262380	Cherskiy	RU	68.75	161.3	-15.46	46	24	2.71
172	1547262640	Deputatskiy	RU	69.3	139.9	-39.99	0	0	2.59
173	1547262640	Tiksi	RU	71.64	128.87	-29.14	47	32	6.4
174	1547260200	Tomohon	ID	1.33	124.84	78.8	94	40	6.93
176	1547260200	Gurlan	UZ	41.84	60.39	31.28	86	90	6.93
177	1547258400	Riyadh	SA	24.63	46.72	44.6	59	0	2.82
178	1547262641	Birmitrapur	IN	22.4	84.77	61.67	81	0	4.05
179	1547258400	Mahebourg	MU	-20.41	57.7	78.8	88	40	6.93
180	1547262418	Batemans Bay	AU	-35.71	150.18	87.23	51	0	3.15
181	1547262641	Kaitangata	NZ	-46.28	169.85	62.8	72	0	9.53
182	1547262642	Dauriya	RU	49.93	116.85	0.16	79	68	4.61
183	1547258400	Castro	CL	-42.48	-73.76	53.6	100	90	9.17
184	1547260200	Gat	SN	14.69	-16.54	66.2	72	0	13.87
185	1547260200	Tarnova	RO	46.32	21.8	20.35	100	76	5.82
186	1547260500	Hermiston	US	45.84	-119.29	35.91	94	1	3.36
187	1547262643	Vao	EE	59.1	26.19	31.43	85	44	11.43
188	1547258400	Mount Gambier	AU	-37.83	140.78	75.2	44	0	19.46
189	1547262643	Samana	EC	0.12	-76.97	71.48	97	12	2.04
190	1547260200	Nevelsk	RU	46.67	141.86	15.8	56	20	13.42
191	1547262644	Tahoua	NE	14.89	5.26	61.94	44	0	10.42
192	1547261700	Lawton	US	34.61	-98.39	49.66	98	90	10.29
196	1547261400	Terrasini	IT	38.15	13.08	43.52	86	40	4.7
197	1547262645	San Patricio	PY	-26.98	-56.83	78.1	82	80	3.94
198	1547262645	Celendin	PE	-6.87	-78.15	55.64	89	48	0.81
199	1547262638	Luderitz	NA	-26.65	15.16	57.67	91	24	4.5
200	1547262646	Rundu	NA	-17.91	19.77	76.12	29	20	7.96
201	1547262646	Barreirinhas	BR	-2.75	-42.83	70.99	99	92	3.38
202	1547260200	Pontianak	ID	-0.02	109.34	84.2	79	75	4.7
203	1547262646	Pyaozerskiy	RU	65.83	31.17	28.6	84	88	8.63
205	1547260200	Kinel	RU	53.22	50.63	15.8	85	75	11.18
206	1547261700	Winsum	NL	53.33	6.52	44.62	93	90	8.05
207	1547262647	Varzea da Palma	BR	-17.6	-44.73	76.97	68	56	7.96
209	1547262648	Ballina	IE	54.11	-9.15	46.87	99	92	17.02
210	1547258400	Florianopolis	BR	-27.6	-48.55	78.8	78	40	6.93
211	1547258400	Sarakhs	TM	36.54	61.16	35.6	89	0	9.17
212	1547262648	Voznesenye	RU	61.02	35.48	28.24	87	68	21.05
213	1547262649	Charters Towers	AU	-20.07	146.27	82.06	83	0	7.63
214	1547262649	Tevaitoa	PF	-16.78	-151.5	83.14	100	88	16.58
215	1547260500	Eureka	US	40.8	-124.16	58.26	100	90	12.75
216	1547258400	Bambous Virieux	MU	-20.34	57.76	78.8	88	40	6.93
217	1547262650	Arraial do Cabo	BR	-22.97	-42.02	77.42	86	8	16.46
218	1547262650	Vostok	RU	46.45	135.83	13.61	55	0	1.14
219	1547261700	Kissimmee	US	28.29	-81.41	58.86	77	40	6.93
220	1547258400	Carmelo	UY	-34	-58.28	70.72	64	0	8.05
221	1547260500	Kodiak	US	39.95	-94.76	32.85	100	90	6.93
222	1547262000	Imperia	IT	43.88	8.02	42.28	48	0	13.87
223	1547262580	Biak	ID	-0.91	122.88	82.96	100	8	2.15
224	1547261700	Gorin	US	40.36	-92.02	28.6	100	90	10.29
225	1547262651	Rawson	AR	-43.3	-65.11	72.25	32	44	19.04
226	1547260200	Lasa	CY	34.92	32.53	49.39	76	0	6.93
227	1547262652	Nizhniy Kuranakh	RU	58.84	125.49	4.57	83	76	3.49
228	1547262652	Matay	EG	28.42	30.79	37.51	83	24	2.93
230	1547258400	Torbay	CA	47.66	-52.73	32	97	90	17.22
232	1547262426	Abalak	NE	15.46	6.28	56.99	54	0	7.4
233	1547262653	Chadiza	ZM	-14.06	32.43	65.81	94	44	3.38
234	1547262653	Talnakh	RU	69.49	88.39	-38.19	77	32	4.27
235	1547262654	Ust-Kut	RU	56.78	105.75	-12.45	75	8	3.71
236	1547258400	Sai Buri	TH	6.7	101.62	77	100	75	5.82
237	1547262654	Mangrol	IN	25.33	76.51	50.29	69	0	7.63
238	1547262654	Egvekinot	RU	66.32	-179.17	-44.17	0	0	2.59
239	1547262655	Inhambane	MZ	-23.87	35.38	79.67	99	48	11.54
240	1547260200	Yeppoon	AU	-23.13	150.74	86	51	40	10.29
241	1547262655	Mahibadhoo	MV	3.78	72.97	81.61	100	36	8.75
242	1547262655	Oriximina	BR	-1.77	-55.87	72.83	100	36	4.16
244	1547262656	San Quintin	PH	17.54	120.52	79.76	62	12	3.04
245	1547262656	Presidente Medici	BR	-11.18	-61.9	72.92	94	48	3.27
246	1547262383	Kindia	GN	10.05	-12.86	64.06	85	0	2.37
247	1547261700	Petersburg	US	37.23	-77.4	27.41	82	1	3.27
248	1547261580	Nantucket	US	41.28	-70.1	20.71	39	1	12.75
249	1547262657	Ust-Koksa	RU	50.27	85.62	11.72	78	92	3.04
250	1547262387	Namatanai	PG	-3.66	152.44	85.61	93	36	15.01
252	1547261700	Avera	US	33.19	-82.53	38.17	46	1	5.82
253	1547262658	Samarai	PG	-10.62	150.67	81.97	100	24	4.16
254	1547262658	Point Pedro	LK	9.82	80.23	78.82	95	44	16.69
256	1547262659	Waddan	LY	29.16	16.14	39.04	60	0	11.43
257	1547262659	Buala	SB	-8.15	159.59	83.95	90	92	4.94
258	1547258400	Luanda	AO	-8.83	13.24	78.8	83	40	4.7
